11.813200, 1250000, m
14.223800, 1250000, m
1973.238000, 12500000, m
1980.430100, 12500000, m
0.246000, 6250, m
0.289600, 6250, m
998.792000, 6250000, m
1005.244800, 6250000, m
9949.498700, 62500000, m
9955.409100, 62500000, m
1.713800, 125000, m
2.405600, 125000, m
5.465300, 625000, m
8.187800, 625000, m
0.023300, 125, m
0.169800, 125, m
0.294500, 12500, m
0.433800, 12500, m
19008.042200, 125000000, m
19018.113700, 125000000, m
0.407800, 625, m
0.629300, 625, m
0.649800, 1250, m
0.221300, 1250, m
0.580300, 62500, m
1.406200, 62500, m
15973.033700, 625000000, m
15975.979500, 88129088, m
