46.236100, 1241792, m, slave
46.494100, 1250000, m, master
4945.794400, 12500000, m, master
4945.237500, 12483584, m, slave
0.665400, 6250, m, slave
0.746500, 6250, m, master
2033.605300, 6250000, m, master
2033.174500, 6241792, m, slave
4998.671000, 16916480, m, master
4998.671300, 16820677, m, slave
6.118700, 125000, m, slave
6.017400, 125000, m, master
26.440000, 625000, m, master
26.462800, 625000, m, slave
0.160300, 125, m, slave
0.146800, 125, m, master
0.458000, 12500, m, master
0.303700, 12500, m, slave
0.220500, 625, m, slave
0.135000, 625, m, master
0.037600, 1250, m, master
0.213600, 1250, m, slave
2.293800, 62500, m, slave
2.495900, 62500, m, master
