912.234100, 1250000, m, master
917.787200, 1250000, m, slave
1062.867400, 12500000, m, master
1069.415100, 12500000, m, slave
904.011800, 6250, m, master
904.129600, 6250, m, slave
71.343300, 6250000, m, master
79.615700, 6250000, m, slave
8969.961700, 62500000, m, master
8976.683600, 62500000, m, slave
2.102800, 125000, m, master
904.414500, 125000, m, slave
5.872700, 625000, m, master
9.383400, 625000, m, slave
0.145000, 125, m, master
0.112200, 125, m, slave
0.154700, 12500, m, master
0.487500, 12500, m, slave
18012.835000, 125000000, m, master
18027.995800, 125000000, m, slave
2.054000, 625, m, master
3.230400, 625, m, slave
0.529400, 1250, m, slave
0.183600, 1250, m, master
931.067500, 62500, m, master
931.481700, 62500, m, slave
14027.940400, 625000000, m, master
14031.861800, 88129088, m, slave
