42.609700, 1250000, m, slave
43.031300, 1250000, m, master
4001.534900, 12500000, m, master
4000.609300, 12500000, m, slave
0.072300, 6250, m, master
0.257400, 6250, m, slave
2018.162400, 6250000, m, master
2018.447300, 6159712, m, slave
5940.689700, 16916480, m, master
5940.087400, 16809776, m, slave
4.057800, 125000, m, master
4.561300, 125000, m, slave
17.780900, 625000, m, master
19.636800, 608584, m, slave
0.111500, 125, m, slave
0.165600, 125, m, master
0.436900, 12500, m, slave
0.585700, 12500, m, master
0.290600, 625, m, master
0.155100, 625, m, slave
0.037600, 1250, m, master
0.102200, 1250, m, slave
0.816800, 62500, m, master
21.945600, 62500, m, slave
