13.804400, 1250000, f
17.048400, 1250000, f
1072.597100, 12500000, f
1079.547800, 12500000, f
0.477800, 6250, f
1.337600, 6250, f
993.608100, 6250000, f
996.863300, 6250000, f
8015.821000, 62500000, f
8021.765100, 62500000, f
1.814400, 125000, f
2.485600, 125000, f
9.833800, 625000, f
9.836600, 625000, f
0.089400, 125, f
0.116600, 125, f
0.426500, 12500, f
0.479100, 12500, f
15036.755300, 125000000, f
15038.110400, 125000000, f
0.179300, 625, f
0.311100, 625, f
0.151400, 1250, f
0.273800, 1250, f
901.510600, 62500, f
901.876500, 62500, f
73060.056100, 625000000, f
73065.404700, 625000000, f
