10.598300, 1250000, m, master
919.401200, 1250000, m, slave
1060.331800, 12500000, m, master
1069.783500, 12500000, m, slave
0.074500, 6250, m, master
0.201100, 6250, m, slave
994.461700, 6250000, m, master
1006.160700, 6250000, m, slave
9969.257800, 62500000, m, master
9976.883500, 62500000, m, slave
2.444900, 125000, m, master
5.394500, 125000, m, slave
7.297200, 625000, m, master
11.431100, 625000, m, slave
0.109500, 125, m, master
0.167400, 125, m, slave
0.646000, 12500, m, master
0.829700, 12500, m, slave
18030.432600, 125000000, m, master
18036.038700, 125000000, m, slave
1.399700, 625, m, master
0.110900, 625, m, slave
0.251300, 1250, m, master
0.059200, 1250, m, slave
0.512000, 62500, m, master
1.022800, 62500, m, slave
14061.981000, 625000000, m, master
14066.376700, 88129088, m, slave
