942.055400, 1250000, m, slave
943.696500, 1250000, m, master
0.236300, 6250, m, master
1.515300, 6250, m, slave
1035.737900, 6250000, m, master
1035.829800, 6241792, m, slave
4954.480800, 16916480, m, master
4954.630900, 16900064, m, slave
5.073600, 125000, m, slave
5.301200, 125000, m, master
937.183900, 625000, m, slave
937.619200, 625000, m, master
0.290700, 125, m, slave
0.154300, 125, m, master
0.259100, 12500, m, master
0.328300, 12500, m, slave
0.111200, 625, m, slave
0.188800, 625, m, master
0.163900, 1250, m, slave
0.227200, 1250, m, master
2.562300, 62500, m, master
2.630200, 62500, m, slave
