10.704700, 1250000, m
15.227100, 1250000, m
1065.172000, 12500000, m
1072.018400, 12500000, m
0.281100, 6250, m
0.426400, 6250, m
989.719100, 6250000, m
998.202200, 6250000, m
9972.154100, 62500000, m
9977.963900, 62500000, m
5.918300, 125000, m
6.626900, 125000, m
7.060900, 625000, m
11.873800, 625000, m
5.781700, 125, m
5.788800, 125, m
0.079100, 12500, m
0.169900, 12500, m
18926.962500, 125000000, m
18932.945400, 125000000, m
2.249400, 625, m
2.610800, 625, m
0.162400, 1250, m
0.253200, 1250, m
3.431800, 62500, m
4.589100, 62500, m
15038.590900, 625000000, m
15040.916300, 88129088, m
