12.989000, 1250000, m, master
18.176400, 1250000, m, slave
1964.970000, 12500000, m, master
1970.976300, 12500000, m, slave
4.599100, 6250, m, master
4.547200, 6250, m, slave
979.920600, 6250000, m, master
987.354800, 6250000, m, slave
8073.620700, 62500000, m, master
8079.657300, 62500000, m, slave
1.066600, 125000, m, master
1.555500, 125000, m, slave
5.150500, 625000, m, master
7.088800, 625000, m, slave
0.095800, 125, m, master
0.125600, 125, m, slave
0.269600, 12500, m, master
0.436700, 12500, m, slave
20004.792800, 125000000, m, master
20008.542500, 125000000, m, slave
1.165300, 625, m, master
0.175900, 625, m, slave
0.135300, 1250, m, master
0.303400, 1250, m, slave
1.059000, 62500, m, slave
0.890300, 62500, m, master
14933.257600, 625000000, m, master
14937.696500, 88129088, m, slave
