939.707500, 1217168, m, slave
939.936600, 1250000, m, master
4035.156400, 12500000, m, master
4035.364100, 12450752, m, slave
0.078500, 6250, m, master
0.357500, 6250, m, slave
1985.183200, 6250000, m, master
1986.784200, 6241792, m, slave
5956.690100, 16916480, m, master
5956.240500, 16815226, m, slave
7.506700, 125000, m, master
7.547400, 125000, m, slave
13.532300, 616792, m, slave
13.734600, 625000, m, master
0.100800, 125, m, slave
0.115700, 125, m, master
0.564100, 12500, m, slave
0.497800, 12500, m, master
0.113300, 625, m, master
0.132800, 625, m, slave
0.104400, 1250, m, master
0.314800, 1250, m, slave
2.266300, 62500, m, slave
2.388200, 62500, m, master
