46.752100, 1250000, m, slave
47.065300, 1250000, m, master
2.417800, 6250, m, slave
0.778100, 6250, m, master
1998.784500, 6250000, m, master
1997.345800, 6241792, m, slave
5980.210400, 16916480, m, master
5979.197000, 16837093, m, slave
4.199300, 125000, m, master
4.451300, 125000, m, slave
925.392700, 625000, m, master
925.686800, 608584, m, slave
0.153500, 125, m, master
0.174700, 125, m, slave
0.400000, 12500, m, slave
0.738700, 12500, m, master
0.168500, 625, m, master
0.156100, 625, m, slave
0.195400, 1250, m, slave
0.272700, 1250, m, master
2.185500, 62500, m, master
2.411500, 62500, m, slave
